	tweets	class
2182	Hmm...gay marriage is a subset of gay rights  but they are not different animals entirely.	3
2183	ouch that sucks..	3
2184	i saw you had this thing so i made one too. loser i know ha	3
2185	thanks. i know i hate it to  but it also makes me happy to see ppl that care. you made me smile  so good job :D	3
2186	sigh.. I can telw you because altho you'll laugh at me at least you won't think I'm a freak or tell anyone.	3
2187	dawns a Fucking twat and @occultclassic that is the best song on the album	3
2188	damn yeah	3
2189	why do you eat so much you fat bastard	3
2190	lol. I know  she's a mess. But ya ass was not getting up.	3
2191	Then I would be gay and I would kill myself. Don't become a boy  please.	3
2192	yeah those darn gay alarms at CVS.....	3
2193	yeah  im pissed. liek my body is tired  but my brain isnt  or is it the other way around? fuck idk anymore	3
2194	Yea that is some BS! I HATE MESS LIKE THAT!	3
2195	OMG  you fucking got them didnt you?!?!?! I'm so jealous!!!!	3
2196	oh yeah! Radios powered by pork fat!	3
2197	Go back to your pork fat radio!	3
2198	was it the Nigella coca cola ham? that pig rocks!	3
2199	"Fuck that shit. I told people... ""DON'T MAKE THAT ACCOUNT!"" and someone had to do it. Fuck that shit."	3
2200	hey  fuck you &lt;3	3
2201	that song is so emo to me	3
2202	ikr? It's so fucking gross. GET ONLINE AND SAVE YOURSELF FROM THE 'TARDFULNESS.	3
2203	the punk ass pistons?	3
2204	ur smater than me then. last year  i was out on nye sick as fuck. came home with pneumonia	3
2205	FUCK YEA! THX! Id like to thank all my influences from my grandma (rip) to Sam L.  id also like to thank myself for being great!	3
2206	LMAO!! Hot sauce indeed!  but sheeeeit. you can take a picture of @shaydechelle wrapped in ME! fuck the dumb lol	3
2207	yeah and its really cute that i filmed two weddings that need to be edited and I CANT because my uncle sucks hard.	3
2208	ARGH!  I hate that too!	3
2209	gah!  Damn you spoilers!  I'm only on season threeeeee!	3
2210	Oh man...that sucks!	3
2211	whooo.  did you have to choke a bitch?	3
2212	i hate u! Jk.. But u can keep it.	3
2213	she took $60 from me  $50 from my sis 2 separate nights.  She says her stuff was jacked too.  Don't buy it. Betrayal sucks.	3
2214	You're still alive? Well  damn  I just lost a bet.	3
2215	way to not text me back DICK. :P	3
2216	fuck yeah they do!	3
2217	holy fuck.	3
2218	i got the whale too.  :(	3
2219	damn.. maybe ur next twitmance will be whole ass..	3
2220	sucks 2 b washed up.. gangstas paradise was the shit	3
2221	aw dammit  I meant to call @graemem a lame-duck Scotsman. Thanks for fixing my lame-ass miss of a joke!	3
2222	@hermanos @jamessime wow I totally know that fine line between love and hate! #dead_by_january_i_didnt_sign_up_for_this_shit	3
2223	I never watch those show or even read the lists because they invariably piss me off.	3
2224	he's a retard. shouldnt he be old enough to know to not  be so damn nosy and butt in on peoples relationship.	3
2225	Just keep your head up...you kick so much ass...	3
2226	I didn't call her fat at all! Keep your fucking nose out of other peoples business!	3
2227	"oooooooohhhhhhh sh*t! Damn where all the white women at! Come on! Hahaha (so is that why celebs ""crossover"" when they make it)"	3
2228	ah damn.	3
2229	I hate those fucking hash tags.	3
2230	some loser had already. He did Daniel by elton john	3
2231	A pussy on my cock on my pussy  if you wanna take it further. ;)	3
2232	I've been called a pig  if that helps. Recently  even	3
2233	damn you.	3
2234	Hahaha!  Well take care then. We would hate to lose you to your homeland anyways.  Come back safe!	3
2235	and you're a smug cunt  so it must be true!	3
2236	fuck yo moustache you young ass nigga. Step yo beard game up	3
2237	I might get in a snowball fight out this bitch!	3
2238	what if it could be all 3 that would stink on 2 levels  but I bet it is a fat bonus  or ur picking up his backyard	3
2239	newegg.com.... once u know  u new egg.... can get a 500 gig for fucking 30 bucks on there	3
2240	a semicolon sounds like some sort of gay sex act gone wrong	3
2241	"I hate it when you get ""blue"" teeth. LOL"	3
2242	hour meetings foe a job you're failing at  because you hate it  your bentley that you don't even drive cuz gas is so expensive  in	3
2243	 Damn :(	3
2244	...fuck jared leto. i forgot it was his bday. 25th HIS BIRTH 26th MY BIRTH ECHELON THROUGH THE BACK DOOOOR.	3
2245	 damn 'reply' button ... -.-	3
2246	agreed.  UGO sucks ass	3
2247	it's the damn music  ugh  terrible!	3
2248	Also  you are not Canadian  fuck.	3
2249	yeah... it sucks...	3
2250	i hate those DIY post office things here in #ALB. no matter what the lines are still insane.	3
2251	rogue. I hate you and your ability to spell correctly. though some of them were red  but they were communist. not rouge.	3
2252	I hate chris	3
2253	u know what................. ima put jourdan on your ass.	3
2254	omg that so fucking sucks	3
2255	fuck. :( &lt;3	3
2256	this sucks ass!	3
2257	fuck yo couch! In yo face!	3
2258	FIRE HIM!!!!!!  lol lame ass mofo....	3
2259	get your ass here !!!	3
2260	Nuno Bettencourt ftw. Damn!	3
2261	Fat ass!	3
2262	and most of them are ugly and fat..lol	3
2263	i couldnt agree more. HATE sandra lee!	3
2264	i'm ok  now  darlin :)  i just hate my body sometimes.  it hurts me when it's most inconvenient.  i'll be ok... :) thank youuu	3
2265	http://twitpic.com/taap - fat.	3
2266	http://twitpic.com/v2mo - lol.. hate u both..	3
2267	http://twitpic.com/vhtp - LOOOOOOL HATE!!!!!!	3
2268	awwwwz poor little emo girl	3
2269	Damn skippy.	3
2270	that sucks. People are stupid.	3
2271	hate you both!!	3
2272	hate u	3
2273	Injections don't work in Vista? I tried in XP  didn't work there either  crazy bug or something :(. Damn you C++ Win32 API!	3
2274	it is not only terrible... it really sucks.	3
2275	AND DAMN I JUST LOST /AGAIN/.	3
2276	dude that sucks!	3
2277	if anyone's a loser  it's YOU.	3
2278	lol whore bath...funny.	3
2279	Fat Boys have a new song?!	3
2280	A gay couple getting married in NYC isn't going to change anyone's idea about marriage. Divorce has redefined marriage.	3
2281	Heores Season 2 sucked! Full of emo shit!	3
2282	I LOVE Pocoyo!...because I'm a freak!	3
2283	i hate you.	3
2284	i didn't laugh  fag.	3
2285	Pretty sure it's CO2 and H2O produces sugar  but damn that was a long time ago	3
2286	Well that sucks.	3
2287	lmfao! bad ass!	3
2288	wow. your dad looks like a total bad ass!	3
2289	You coming to work today  E? I know it's Gay Day and all. I wasn't sure if you were gay or just running late.	3
2290	Damn if TJ doesn't like your music  it must really suck. This guy will cosign anything	3
2291	old ass nigga!	3
2292	they stole my slogan!!! I hate them for that!	3
2293	That happens here in MD too. People totally freak!	3
2294	bitch... lol jk	3
2295	why would i accuse you  im SUPER FUCKING JESLOUS OF YOU	3
2296	kiss my icecubes formerly known as my ass cheeks.	3
2297	that sucks balls!	3
2298	I hate that too!!	3
2299	NERD!	3
2300	YOU KNOW IT BITCH. :D	3
2301	No God no. Fuck no. Fucking fuck god no.	3
2302	Gypsy bitch!!!!!	3
2303	LMAO!! I seen that  that dude was mad angry... then got his ass beat	3
2304	fuck you shane lol	3
2305	oooh that sucks. ibuprofin	3
2306	enak aja! nick carter ga gay!!	3
2307	ohlala dago ktny tmpt nongkrong gay :D	3
2308	@BikerSwag damn! No kidding!	3
2309	Man  fuck Alton-Darby.	3
2310	Sigh. Fuck 4chan.	3
2311	haha I always say that! Girl or not  I too can rock out with my cock out! Hah	3
2312	I hate em..	3
2313	He's so fucking annoying. I would just tell him fuck off and it's his fault he has an unverified address &gt;:/	3
2314	yeah and I am the man in the relationship @kRockXP your my bitch.	3
2315	D:!  That's horrible  ;__; This sucks.	3
2316	fuck off dude  don't waste my time  damn spam users again ...	3
2317	fuck off dude  don't waste my time...	3
2318	you own a gun? remind me not to piss you off anymore.	3
2319	FUCK FUCK FUCK FUCK BIIAAAATCH!	3
2320	damn straight :)	3
2321	damn you hater!  lol	3
2322	OMG your so MEAN .. really really mean +_+  i hate you .. hifftt	3
2323	cunt? Whore?? Lololol	3
2324	fuck u and ur fucking break =/	3
2325	wow   that sucks.	3
2326	LIES! I HATE HIM!	3
2327	damn straight	3
2328	I hate you so much you stupid New York... douche. bagel.	3
2329	I wish I could punch you square in the face. that's how much I hate you right now.	3
2330	you are a twitter/last.fm whore! :P	3
2331	Doh!  That sucks!	3
2332	i hate you for both those statements. lol	3
2333	fuck up foo.	3
2334	i REALLY hate you	3
2335	ur gay? me. u. mall. shopping!	3
2336	God damn it  Louis!	3
2337	Nerd alert!	3
2338	SHUT THE FUCK UP! What?! Why does Micky Rouke have ur #?	3
2339	Freak.	3
2340	VTU  SUCKS &gt;.&lt;	3
2341	8 fucking am.	3
2342	HOLY FUCK! GIRL YOU CANT DO STUFF LIKE THAT!	3
2343	i hate pret	3
2344	That sucks!	3
2345	jealousy makes me hate you now hahaha	3
2346	And I HATE gangsters &gt;.&gt;	3
2347	haha no I'm just trying to fuck with him	3
2348	i hate u	3
2349	i hate u. looooooool	3
2350	Lolol well i hate u. K thx &lt;3	3
2351	I will super hero my ass out there and blow the tire up myself!!!	3
2352	that sucks big time.	3
2353	damn!! *goes off to call God*	3
2354	FOR REAL!!!! I NEED TO JUST STOP!!!! REALLY!!!! FUCK!!!!!	3
2355	gotta hate that shit	3
2356	So you were a geek and gay at a very young age ;)	3
2357	You fucking rock =)	3
2358	yeah  it sucks :(	3
2359	Thats so fucking stupid for you to say	3
2360	That sucks:)	3
2361	God damn. That's some stocking up.	3
2362	damn girl. that was fire!	3
2363	makes even gay men question their sexuality.	3
2364	OMG where? that sucks!!	3
2365	lawl @ fat bitchez.	3
2366	you're a fat bitch? I think you just called yourself one. Lmao... Well if you wanna out yourself in that category... Ha ha	3
2367	fuck yeah	3
2368	Eat twat   you twitter whore.	3
2369	That sucks ...	3
2370	what happens when someone tells u gators suck ass lmao. U pull a gun or stab them to death???	3
2371	god damn you.	3
2372	nerd. :)	3
2373	aw that sucks.	3
2374	I don't wanna sound gay or nuthin'  but that sir... is an arousing pic.	3
2375	lady  i wanna fuck your tumblr.	3
2376	that sucks!	3
2377	FUCKING ELLAS A RETARDED CUNT ALOT OF PEOPLE COULD DO A BETETER JOB THEN HERE SHES RACIST AGAINST BLACKS	3
2378	MOD_ELLA IS A FUCKING CUNT	3
2379	haha ugh this sucks :(	3
2380	ass get out its ur last day damn it!	3
2381	awe  how gay :P	3
2382	oh no...he grew out of it (after a few ass whippings)....he just steals girls hearts now (he's 20). But yea he was a baby klepto	3
2383	damn  that sux	3
2384	he's gay like u lmao. And the rest of the guys are alergic to fruits. *wink* lmao.	3
2385	U stupid bitch. I said Its in my car u always at work or chillin with then regis niggas.  Don't piss me off.	3
2386	hey man! You =gay! Lol jk	3
2387	your a pale whore..	3
2388	after I kept getting caught I just said fuck it  lifes too short and I wanna sing off key fools!	3
2389	you damn betcha	3
2390	ass.	3
2391	hot ass mess!!!! hahahaha	3
2392	omg! that really sucks! anything serious?	3
2393	@nightmaremyles fuck yes to both of you.  &lt;3	3
2394	dude.  she's fugly.  i think ur a desperate ass cam perv.	3
2395	hahah  ass :P hehe	3
2396	BITCH...you got a working Zune  and I don't like it! Yea you got one...BUT IT AINT ENUFF!	3
2397	closing now. some gay xmas thing	3
2398	Wow! That sucks.	3
2399	I hate FCC they are evil	3
2400	fuck you	3
2401	damn straight	3
2402	I'm late to the emo-ball.. I'm not even dressed.  WHY un-follow you?  What did you do now (pft- can't take him anywhere...)	3
2403	i will but now the only problem is im realllyyyy not looking forward to seeing some gay show	3
2404	wash yo' ass!	3
2405	that sucks!	3
2406	 you came up with angry gay guy...	3
2407	 twitter whore!	3
2408	is officially too gay to function!	3
2409	... this is so post gay  it hurts .... NSFW! http://tinyurl.com/6d9ew5	3
2410	I hate you	3
2411	hell yeah fucking losers lol	3
2412	Fuck yeah	3
2413	na just a bitch of a teacher!!!!	3
2414	it is. Hate that LOL	3
2415	aww  I knoow  I hate that! :-P	3
2416	you're so gay. I hate lonestar.	3
2417	shits gay!	3
2418	fuck you Devi. slit em'!	3
2419	well just go to the local whore house!	3
2420	no way. they REALLY hate you  don't they?!	3
2421	@ryanruppe damn you...	3
2422	fat guys are immoral  there should be a proposition to keep them from marrying  VOTE YES	3
2423	you're a nerd fail	3
2424	fucking ayeeeeee	3
2425	SHUT THE FUCK UP BEFORE I PUT A HAMSTER UP YOUR ASS!!	3
2426	YOUR MOM SUCKS ASS. Don't be such a douche. It's obviously not done. I'll add the fucking parm when the noodles are done.	3
2427	I hate you so hard right now.	3
2428	http://twitpic.com/vme7 - that sucks!	3
2429	we talked four days ago!!!! emo cowboy fan :)	3
2430	Especially the gay cowboys. Ha ha.	3
2431	i BET YOU WERE SILLY ASS! lol	3
2432	You're such a nerd. lol	3
2433	I hate you and your steelers.	3
2434	fuck betty she killed me...	3
2435	fuck yo life nigga	3
2436	@farwyde Cock your gun.	3
2437	@design_doll Cock and bull	3
2438	I hate them. I eat them for dessert. I will keep following you. I believe in your cause	3
2439	"""marinates penis"". That's gay dude."	3
2440	Male Chauvinist Pig. :P	3
2441	wow! You're a real cunt!	3
2442	OMG  that is a total bitch! Those jerks play that game here too except they write big fine$ with the confiscations!	3
2443	His ass needs to be put on blast so now his wife can see wtf he's doing.	3
2444	payment schedule...been there...sucks ass	3
2445	fuck em then! heh	3
2446	That sucks.	3
2447	That sounds like Charter.  I hate Charter.	3
2448	YOUR INSANE BABBLE  HAVE YOU LOST YO DAMN MIND?	3
2449	You know all about some interpretive gay dancing.	3
2450	hate you...	3
2451	hahahhaha I hate that!	3
2452	fuck you.	3
2453	fuck you haha	3
2454	whatever about the Gay Byrne voiceover  shame on Eason's for running Christmas ads in early November!..	3
2455	Son of a bitch!	3
2456	Drupal sucks.	3
2457	Rooster is my bitch!	3
2458	Rooster is LARRY'S bitch!	3
2459	oh man that sucks!! LOL	3
2460	That really sucks.	3
2461	that sucks.	3
2462	ha! Go fuck a chickhen!	3
2463	fat bastard	3
2464	gay + high on crack + Razor sharp vagina? sounds like @andymn to me	3
2465	you mean we chatted about how I wish I were a gay man??	3
2466	faa lalala gay apparel daa da da daaa yuletide carol la la lala laaaa....	3
2467	Ok is it gay day today? or are those some cute azn girl socks u sexed	3
2468	Fuck yea it's the bomb	3
2469	WTF emo ass lookin bitch &gt;&lt; *sigh*	3
2470	suck my cock  bitch. i am allowed to be scared of whatever i want. *z snap*	3
2471	Fuck.	3
2472	YOU ARE FUCKING BR00T4L	3
2473	ewww  hate it hate it hate it!	3
2474	I hate it SO SO SO MUCH.	3
2475	hate. you.	3
2476	Son. Of. A. Bitch. :-p	3
2477	fuck you	3
2478	I hate it  too.	3
2479	ha! sucks for u!!	3
2480	oh wow  that really sucks. :/	3
2481	i hate you	3
2482	Oh  that sucks!	3
2483	aww that sucks :/	3
2484	That's gay. Poor MCR.	3
2485	everything but you. Everything but you sucks.	3
2486	That sucks dude!	3
2487	Oh my fucking ~*gawd. *eye roll*	3
2488	aww  that soo sucks D:	3
2489	GA has finally let out is inner ass and now everyone hates him :D	3
2490	Fuck you	3
2491	emo!lol j/k	3
2492	Damn girl ... Your house was dirty.	3
2493	I noticed that and you are not a bitch. The other thing that she also doesn't have is class.	3
2494	damn kenny u need emotional condoms and shit son.	3
2495	Kick ass!	3
2496	ha! my ass be bowling lol	3
2497	to get fat?	3
2498	i would hate that too. :(	3
2499	i hate you all	3
2500	/nerd *laugh*	3
2501	Ah. Gay!	3
2502	I hate you so much I just want to smash your face.	3
2503	Yes you are a loser... I could have told you that a long time ago...	3
2504	. . . HE'S FUCKING HIMSELF!	3
2505	 Do you lick dick?	3
2506	 On a 1 to 10 how mad would you be at me if I were to rape you?	3
2507	 dudde ima fuuck you til you bleed:)	3
2508	 haha keep saying shit ill kill you	3
2509	 Tabi isn&;t fake in anyways  so go suck a fat one. SERIOUSLY. I will beat your ass. I love you Tabi<3 ((:	3
2510	 Your picture looks shopped...	3
2511	 Hey  suck it hoe.	3
2512	 im better tthan youu :)	3
2513	 i dont givafuck. ur friendless  previously stated in one of my other comments. except for firey  bitch	3
2514	 Your face is such a mess  why don&;t you get your dog something different to chew on?	3
2515	 stop acting like you know everything. your fat. get over yourself you mouthy slag :L and no your not better then everyone else! (:	3
2516	 Learn how to spell? Learn how to tell apart a typo from a spelling error.   And learn how to be a proper fake.	3
2517	 your mad ugly. true talk.	3
2518	 Your so fucking immature I&;m sorry you have no friends so you have to be rude to everyone	3
2519	 Answer your questions biatchh!! :L	3
2520	 u2584u2588u2580 u2588u2584 u2588u2584u2588 u2580u2588u2580	3
2521	 r u retarded ? :P jking	3
2522	 Just admit ur a lesbian drug addict who flirts with guys  it&apos;s okay(:	3
2523	 r u a drty slut?	3
2524	 y is the sky blue?	3
2525	 wtf is up wit ur cheeks?? chipmunk much??	3
2526	 Wait Nevermind I Am Signed In	3
2527	 i never said that i&;m 16 or that i&;m sexy. dumbasssssss	3
2528	 ugly.	3
2529	 heyyy  your an ugly fucking bitch  you think your sexy? haha  you ain&;t shit besides an ugly bitch. &amp; beware of what? ill fucking put your shit on blast. fucking stupid ass cunt. fuck off  &amp; stop hatein on peoples pages before i go off on your ugly ass.	3
2530	 your a fuckin ugly bitch you look like a man in the face :)	3
2531	 Is it ok if I&apos;ve jizzed to pics of you before?	3
2532	 You and frances gross me out  nastiest couple ive ever freakin seen. Your way out of her league like no joke.	3
2533	 yuu kno yuu so lame? ndd yuu caint tlkk to that muchh qurls hav yuu seen yurselff hahahahahah noooo	3
2534	 Hoe	3
2535	 i want you dead.	3
2536	 Do you want me to rain on their parade? Sure hate ignorant Texans who believe that being from Texas gives them the right to act like low level scum suckers. The need to live in the real world and pull their head out of that dark place they have it shoved.	3
2537	 Why r u such a bitchh??? I hate u I&;m gonna kick ur ass whore!!	3
2538	 Aww you&;ll have some beat my ass? Your not &quot;badass&quot; enough to do it yourself? Exactly what imeant by pussssssyss<33333	3
2539	 Uhm you did  right down there vvvvvvv. You&;re the &;dumbfuck&;.  Stop starting shit with everyone  kcoolbye.	3
2540	 I see (:	3
2541	 your a fagggggg	3
2542	 You&;re Lame As Fuck .	3
2543	 Ugly piece of shit	3
2544	 I&;m not a creepy stalker. Just everyone fucking hates you so everyone knows what you fucking do. You remind me of Harmony Flashpink but uglier and alittle more pathetic. Everyone knows you fake yourself and other girls  and you want attention. Dumbfuck.	3
2545	 who did you last go out with? cameren loomen?	3
2546	 y do u have a big nose seriously no girl have a big nose ?	3
2547	 How&;s having like no friend&;s ?	3
2548	 I do too know you like that  motherfucker.	3
2549	 Hey aujala r	3
2550	 hey everyone  this is the girl that fakes ta	3
2551	 :] you are fake though :D ? that makes no sense lolol why would you keep faking all these formsprings  your stuuupid :p we all know the real ashlee girls formspring already  soo fuck off may you?	3
2552	 Dumb bitch! Fuchkkk you and your stupid friends! Your all pussies! None of you can handle on your own! You always need your friends to get in everything!	3
2553	 but i want your hairy ass then after i lick it i can fuck it you know you want it	3
2554	 ew i wuld never be jelous of ur life. coke yup thats a drug to but u still seem to handle with it a lot. no one gives a flying fuck about ur life and leave andrew the fuck alone bc u only hate him for the firey cunt	3
2555	 SMILE4MEXXX IS TRAILER TRASH. A RACIST FAT COW. A BIMBO FUCKING SLUT. AND WORTHLESS AS HELL. ALL SHE&;S GOOD FOR IS SOMEONE USING HE BODY FOR SEX AND DUMPING HER ON THE STREET WHEN THEY&;RE DONE USING HER ;)	3
2556	 BITCH STFU AT LEAST I RECOGNIZE MYSELF NOT LYK U	3
2557	 oh frances hunny dont try and talk all ghetto your white ass doesnt fucking scare me  i will break you in fucking half.	3
2558	 ASSHOLE	3
2559	 Ur gunna get jumped. U stupid bitch.	3
2560	 13?r you&;re at the perfect age to learn how to suck dick and give hand jobs.	3
2561	 Leave Texas bitch!! No one here wants you!! Quit hating on Texas and Brock  we were perfectly fine without you BITCH! ... sooo LEAVE!	3
2562	 XoxoAshleyxo and I are okay now though. No more threats so your back up will not be needed.	3
2563	 you are stupid and ugly.	3
2564	 no. I hate taylor she used to b firey until she dyed her hair	3
2565	 FUCK YOU YOU SON 	3
2566	 Your probably the one faking KAI! HUH! FUCKING BITCH!	3
2567	 B!+(h !M@ B3 PUMP!N D!S$Z D!(k !N Y0 3@R S0 H@RD DAM BRUH I BUST3D A L0@D 0F CUM !N MA M0MMASZ HA!R SH3 MO!STURIZIN IT DO3. I P!CTURE Y0 VA@GIN@ T0 BE3 ALL H@!RY N $$H!ZZZZ W@!T T!L ! MUNCH ON DAT N@PPY BROWN H@!RY H@!T!@N PUZZIE	3
2568	 AJULA NO DONT FUKIN TALK TU HERRR ! VVV	3
2569	 dayumm stupid fuckin cunts stop talking your shit get a fuckin life go suck your moms dick and chock on it dayumm lil pussys take it of anonamis or watever -stephanie iloveyou alexis :)	3
2570	 Here&;s an idea  how about stop trying o get hook up with Tabitha and actually find someone who can suck you 3inches dick  hahaha doubt that will ever happen. No girl likes a pevert and a douche(:	3
2571	 get a life you twisted bitch!	3
2572	 im gnna fxk u up!!!!!! ur a dum hoe	3
2573	 Is it true you kissed that ugly Cody kid!?!	3
2574	 too late  i hate you	3
2575	 fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake	3
2576	 fuck no im not jealous of the ugly ass freak.	3
2577	 NIGGGAH ISZ YUH CIRCUMSIZED	3
2578	 Hey bitch don&;t get mad at people who write on here cause YOU ask people to write to you.	3
2579	 DUDE  ARE YOU SERIOUS YOUR SO STUPIDDDD >.> STFU!:) and btw  if your tired of people talking shit on your form spring  delete this accountt >.> and be yourself  are you that bad?	3
2580	 hello mr gay fuck	3
2581	 Don&;t call her a bitch vv	3
2582	 u know u care that betty is way better looking than u	3
2583	 aye dhis daddy pelt	3
2584	 y does u talk shit about peyton ?	3
2585	 oh well aren&apos;t you just the shiiit for hanging out with older people? get friends your own age  you dumb bitch.	3
2586	 shit talkin bitch	3
2587	 when they mean fake  they mean your attitude is fake and your personality  not if shes dead or alive..um just saying ppl.	3
2588	 im a big fan of betty and u is ugler than her so fuck up bitch u ugly shit head	3
2589	 i hate ur fucking guts. u &amp; lindsey? grossest thing ive ever seen	3
2590	 :3 wow ashleeee your fakes amuse me lmao  okay  you are retarded to keep this page upp :]	3
2591	 I fucking hope you move you bitch!!!!	3
2592	 brittany is from MAYODAN abbie aint from ellisboro  either.dumbass....and the lst 2 aintchur girls they dont evn lik u.	3
2593	 You are such a faggot for going to EDC god damn it. Almost as much of a bitch as Thad  but no where near Zach at least.	3
2594	 Hahaha ohmyGod you are an actual jerk	3
2595	 she sucks. she can go fuck herself. xD	3
2596	 gahaha. xD i will whip your ass. lmfaoo.	3
2597	 fuck the lakers! GO CELETICS	3
2598	 you sure as hell look like a dog.  don&;t fucking call me &;hun&;.  got it.	3
2599	 haha lifeless cunt stop writing on my wall you shit faced slut	3
2600	 and you called me fat why?	3
2601	 who tha fuck is &quot;Krista&quot; r this is not &quot;Krista&quot;	3
2602	 fuck yo shit homie!	3
2603	 does it look like i give a flying fuck? ;]	3
2604	 Wow you&;re fucking stupid. You told a girl whoo had her info showing &quot;Show your face anonymus&quot; and your comebacks fucking suck. &quot;Fighting over the Internet is like being in the special olympics  even when you win  you&;re still retarded.&quot;	3
2605	 &quot;I have one for your information&quot; WTF. That&;s MY LIFE  NOT YOURS. You best think twice before you try to steal my stuff  bitch.	3
2606	 who decided to take a shit on your face?	3
2607	 i would watch out for rachel just sayinnnnn&apos; she is a fake person.....	3
2608	 Did you know that you remind me of an old man?	3
2609	 whyy aree youu suchh aa faggottt(:	3
2610	 i guarantee you guys wont be going out by the end of summer..	3
2611	 Did you know you smell like an old man?	3
2612	 Hey my names harry beaver;) <3	3
2613	 No. Stop fucking lying. You used to smoke. We ARE NOT STTUPPPIDDDDDDD!! I myself have smoked with yuu before.	3
2614	 HEY BETCH. wanna not be a lil slut?! &amp;please oh lordy STOP CUTTIN EYES AT ME!r cus she want me dead (;	3
2615	 exactly. ur not hard get the fuck over urself	3
2616	 Your 44 years old? :O! Dumbass  Pedifile. :D	3
2617	 no body likes yuuuuuuu!	3
2618	 U A HOE.!	3
2619	 why are you so gay	3
2620	 Besides  the chick who&;s starting shit won&;t back it up and isn&;t even saying who SHE is.	3
2621	 Oh ISSS THAT FAGGOT ISAYAH GOIN TO BEE DER???	3
2622	 ]=	3
2623	 fuckin hate your ass.	3
2624	 **bitch*** lol VVV	3
2625	 Hi you smelly rotten poo. You smell like pigs vomit! Did you just go to the toilet? I wondered what that smell was  you missed the toilet and it fell on your ugly clothes  are you poor? You stink like hamster poo. I&;d love to ram a metal pole up your ass.	3
2626	 WHORE!	3
2627	 Sleepin around is for whores. LOL	3
2628	 Bitchezz beloww me I would say ur name but yeww put it on anonymus pussy ass bitchez talkin shit on Alexis she ckan show Herr  fuken boobs if she wants don&;t be jealous cuz yeww prolly don&;t gawt any it&;s ok tho and bitch wen she sayz write to her she	3
2629	 eat a dick you complain about texas all day shove it it! you just got told your suck a dick! so eat one	3
2630	 I have my shit straight  she wears like the same T-shirts.. her little pink and white stripped shirt or the plaid blue and red or pink shirt or whatever  and maybe some random ones.. with jeans or shorts and vans. OWNED.	3
2631	 i like how everyone writes you just to insult you. seriously  all your questions are dissing you! HAHAH.	3
2632	 austins new girllfriend is not uglly  &amp;&amp; she is way way better than your nasty asss willll ever be. Ha evven youur so callled bestfriend &quot;katellyn&quot; aggress that kristens pretty tighht.	3
2633	 I am NOT a baby  you jerk off!	3
2634	 that stupid bitch amber that went to our school tries to act like she ran our fucking school! we should put that bitchx back in her fucking place!	3
2635	 Your bio is quite interesting  it says  &quot;booo you whore.&quot; Are you talking about yourself? I am very confused.	3
2636	 i hope your asswhole gets sniffed by aids	3
2637	 Hi my name is Andrew and I want to fuck your brains out you hoe	3
2638	 this is a place for QUESTIONS  try asking some.r will you do me?r what color of condom?r kidding. but really.	3
2639	 How many times did you and that douche have sex	3
2640	 I DO know you on a personal level. Bitch.	3
2641	 Grosss! Your face is nasty	3
2642	 yoo im telling yall dnt mess wit my kuszinn kus she DO NOT PLAY repeat DOOOOO NOTTT.!	3
2643	 I don&apos;t like you ugly ass hoe. I bet your LESBAIN. You look like it. I bet when you older I&apos;ll see you in a anonymous porn ad. BTW I heard you stuff your bra...Hahahhaaaa No boobs!r	3
2644	 your ugly.	3
2645	 Meanzz to ask her questions and stuff nawt talk shit on anonymus pussy ass bitchez watever tho yew guyz don&;t mean shitt to her and don&;t affect her so be a bitch to Someone who cares pussy ass fuken ugly bitchez fukk youu!!!!! Love alwyz marissa <3 ily a	3
2646	 um da gurl dat hangs wit evelyn her name is katiana..cause i alwayz be hearing u talk about her do u like her?	3
2647	 yous a bitch nd hoe !	3
2648	 NIGGERS NIGGERS NIGGERS BALLS BALLS TITTIES DICK SUCKING FAGGOT SHIT NIGGER ASSFUCK TITTIES FUCK NIGGERS	3
2649	 I wouldn&;t say being gay was cool :L	3
2650	 STFU YOU HOE. you piece of shiit.	3
2651	 SARAH STANFORD TAKES IT UP THE BUTTHOLE.	3
2652	 caan you go get me some maccas?	3
2653	 fake doesn&;t mean you look pretty?	3
2654	 why are you such a bitch/whore cunt?r i hate ur guts	3
2655	 i h3rd yUh sU(k3D @L!X&;s D!(K n y@LL cUM3D !N 3@(H 0+3RszZ 3Y3sz N m0@n3D @ll n!qH+ l0Nq	3
2656	 Everyone Look  This Girl Was Using Missy Lockes Pictures And I Told Her She Was Fake  Then She Was Like Im Not Fake  Then She Took Bettys Pictures. SHES DUMB! http://www.formspring.me/LMT23	3
2657	 your LAME ass . oviously iloveyouhh moree. (;	3
2658	 Youu need to answer your questions you gay ;)	3
2659	 kaydoll is bettaa than rhubinathy cuss she will suck my dick and the othe fat hoe wont and i luv it my sluts	3
2660	 i dont know you  but you seem like a bitch	3
2661	 Leave Tabi alone  I know for a FACT she hasn&;t done anything to you. Pretty sure it&;s pathetic you&;re saying this shit anomalously because you don&;t have the balls to say it to her face. Who&;s fake now? Grow a pair and shut the hell up. We don&;t CARE.	3
2662	 You didn&;t get a brain that day either. They were only handing them out to people who would use them.	3
