	tweets	pos	neg	class
7433	That ain't my hoe.	0.0	0.0	1
7434	Awwwwww they no Kaep ain't rape no bitch!!!!	0.666	0.0	1
7435	Ay cuh its HOT AF . Im finna go buy yo bitch some ice cream . Lol	0.159	0.216	1
7436	Ay fuck wieners, remember to eat before you drink and remember to drink water while you're drinking and also to go eat shit you pussy head.	0.0	0.321	1
7437	Ay what are some good bars/clubs to hit up in Denver?? Should be up there Saturday night to coon out.	0.29	0.0	0
7438	Ay yall heard that Rich Gang tape thou?? That bitch on Flame!!!	0.216	0.303	1
7439	Aye a nicca is tired tho!	0.0	0.516	0
7440	Aye it's a lot of niggas out here that can't fuck a bad bitch unless they get her drunk smh #Preach	0.367	0.297	1
7441	Aye the part be treating the bitches too good	0.296	0.398	1
7442	Aye we all needa keep are heads up high who cares if we lost we all went and tried our best south is a bunch of trash talking pussys ! -.-	0.329	0.101	1
7443	Aye, Mcdonald'ss got a fire ass frozen strawberry lemonade.. This bitch so wet	0.0	0.548	1
7444	Ayee hoe	0.0	0.0	1
7445	Ayo twat boy I gotta new phone give me yo jack now	0.0	0.328	1
7446	Ayo why da hell ain't nobody hip me to these niccas!  ... #BetterLateThanNever	0.0	0.352	1
7447	Ayo!!  unblock me so i ca tell you how garbage yo bitch ass playing....	0.108	0.473	1
7448	Ayy Carlton is a ghetto school now #SwitchedAtBirth	0.0	0.0	1
7449	Ayy yo  my nigga  be all up on da,pussy not lettin dat muafucka breathe.	0.0	0.0	1
7450	Ayyyyy I'm sipping on a free slurpee and seeing The Front Bottoms tonight. I'm a happy clam.	0.389	0.0	0
7451	BASICALLY, #GOP, #ROMNEY, right wing reactionaries, drudgies, teabaggers, libertaritards, all hate our education system and teachers.	0.0	0.236	0
7452	BC y'all hoes	0.0	0.0	1
7453	I think we need some pet insurance. GF: LMAO, why, what for? BF: Because I'm destroying your pussy everyday.	0.254	0.197	1
7454	Stop thinking ur entitled to politically correct responses...bitch	0.149	0.426	1
7455	You are going to kill yourself if you don't EXHALE!  : Killin you hoes	0.0	0.454	1
7456	BROS BEFORE HOS! ... and there I was with my bros, without any hos..	0.0	0.0	1
7457	"Them hoes was nasty but I kept eating them "": What the fuck happened to these? """	0.0	0.47	1
7458	Them ugly hoes say a nigga arrogant...	0.0	0.565	1
7459	Baby I can make that pussy raaain OFTEN.	0.0	0.0	1
7460	Baby I can make that pussy rain, often	0.0	0.0	1
7461	Baby I can make that pussy rain... Often	0.0	0.0	1
7462	"Baby I'll whisper Vietnamese to you all soft like, ""ching... chong ting o long...."""	0.161	0.0	0
7463	Baby girl your pussy looking so vacant....	0.0	0.0	1
7464	Baby moanin , got me zone'nn  I want this bitch next me , pussy like ecstasy  .	0.44	0.217	1
7465	Baby pussy cant be your only hustle. Unless u bad as Naomi Russell.I mean a lot of ppl got money.So basically Russell aint the only Russell	0.151	0.0	1
7466	Babydaddy needing bail money say thats wat she gone do talk a whole alotta shit but swear that bitch gone come through	0.0	0.398	1
7467	Back #InHighSchool me and  used to have to stiff-arm bitches that kept tryna steal our fitteds	0.0	0.504	1
7468	Back in America, and I've become a basic bitch again.	0.0	0.432	1
7469	Back in this bitch again....	0.0	0.655	1
7470	them hoes will let you fuck em in the ass. Usually an extra charge plus the rate you agreed upon.	0.116	0.387	1
7471	Bad Asian bitch yea she look just like Kemora	0.181	0.529	1
7472	Bad bitch give good head, dumb bitch get hood rich	0.261	0.578	1
7473	Bad bitch good head I think she ah keeper !	0.2	0.524	1
7474	Bad bitch on my line tryna give me brains	0.0	0.646	1
7475	Bad bitch pussy aquafina call her Crystalina	0.0	0.646	1
7476	Bad bitch selling molly I might take one	0.0	0.593	1
7477	Bad bitch with me and you kno that her ass is fat	0.0	0.844	1
7478	Bad bitch, chest out......no wonder why Miss Righteous keeps on getting left out	0.0	0.527	1
7479	Bad bitches ain't cheap	0.0	0.712	1
7480	Bad bitches aint cheap better pass her if u broke !!	0.0	0.815	1
7481	Bad bitches an good weed	0.257	0.655	1
7482	Bad bitches and good weed	0.257	0.655	1
7483	Bad bitches be all ova me .. Besides pussy what could you offer me?!	0.0	0.562	1
7484	Bad bitches every where	0.0	0.881	1
7485	Bad bitches from Oakland, she could beeee a model	0.0	0.649	1
7486	Bad bitches hate broke niggaz.	0.0	0.933	1
7487	Bad bitches in dirty ass houses &lt&lt&lt	0.0	0.775	1
7488	Bad bitches in the pen make my toes curl	0.0	0.649	1
7489	Bad bitches is the only thing I like	0.229	0.679	1
7490	Bad bitches is the only thing that I like	0.229	0.679	1
7491	Bad bitches is the only thing that I like!!!!!! #BBLU this Saturday #BBLU #SuedeLounge #RICHGIRLS	0.146	0.502	1
7492	Bad bitches is the only thing that i like	0.229	0.679	1
7493	Bad bitches is the only thing that like	0.229	0.679	1
7494	Bad bitches only	0.0	1.0	1
7495	Bad blood in the camp  if it's bout a bitch just know I don't respect it homie	0.0	0.585	1
7496	Bad chicks send em in.. Basic hoes toss em out, can't even get Waffle House.. Hating niggas chalk em out gone get the coffin out	0.0	0.326	1
7497	Bad foreign bitch she a walkin Ferrari	0.0	0.709	1
7498	Bad lil bitch ain't never seen her	0.0	0.593	1
7499	Bad lil short fine bitch lil petite sumn	0.128	0.518	1
7500	Bae gotta bitch  whoops	0.0	0.487	1
7501	Bae juss the new side bitch lingo u aint special hoe	0.0	0.464	1
7502	Bae made me deep fried Oreos	0.0	0.0	1
7503	Bags Bags that's that bag money trash bag black and it's filled up with money	0.0	0.0	0
7504	Bald head bitches think it's their time to prosper !	0.0	0.411	1
7505	Ball is life? No bitch bench is life	0.0	0.6	1
7506	Bands will make her dance , stamps will make her twerk , If Romney becomes president , these hoes will have to work.	0.0	0.0	1
7507	Bang, bitch, you think I'm strange, bitch? It's bananas like a fucking rangatang bitch#vote5sos#EMABiggestFans1D	0.097	0.514	1
7508	Barkley is trash	0.0	0.0	0
7509	Barry's hoe Michelle is walking in now. Ugly beast she is.#SOTU	0.0	0.292	1
7510	Baseball isn't the same without the Yankees in the playoffs  basketball isn't the same without the Lakers in em.	0.0	0.0	0
7511	Basic bitch no chill	0.0	0.655	1
7512	Basic bitches  lame niggas &lt	0.0	0.82	1
7513	Basic bitches everywhere	0.0	0.661	1
7514	Basic niggah in his basic clothing	0.0	0.0	1
7515	Basically saying that the pound doesn't belong to us and it's English... Greedy cunts	0.0	0.408	1
7516	So if you're worried about being a ho or looking like one, good luck.	0.529	0.156	1
7517	Suspended Orb Tub Not for Shy People  #bathing #design #weird and yet #cool	0.255	0.303	0
7518	Bbl gonna go sob over gay bird babies.	0.0	0.222	1
7519	Bc I got too many bitches	0.0	0.565	1
7520	Be a dog to these bitches bt be a KING TO YA QUEEN '	0.0	0.358	1
7521	Be a girl with a mind, a bitch with an attitude and a lady with class.	0.0	0.388	1
7522	Be fearful of the wrath of God in a country where many mock Christianity, embrace perversion, abortion, and bows to PC/multiculturalism.	0.213	0.401	0
7523	Be mean or rude to my little sister again and I'll kick your ass. It applies to all of you little snooty bitches. K thanks.	0.116	0.445	1
7524	Be my backbone every nicca need a spine	0.0	0.0	1
7525	Be trippin when I call you hoe but bitch you know I talk like Dat! --  voice	0.16	0.262	1
7526	Beans that were yellow before Friday night are brown now-a few green leaves curled-frost but not freeze-bean size reduced - top end shrinks	0.114	0.0	0
7527	) #Goodday	0.0	0.0	1
7528	Beat the pussy down like my nemesis	0.455	0.0	1
7529	Beat the pussy in so well her shit still hurting from a week ago	0.157	0.47	1
7530	Beat ya bitch pussy up every time I see her like a bully .. Then send her outta town wit 4 cookies	0.111	0.311	1
7531	Because I had to accept being called a bitch every time I asserted myself. #YesAllWomen	0.21	0.306	1
7532	Because I'd rather wear my hair long and have piercings, I'm a faggot that will never go anywhere in life.	0.0	0.268	1
7533	Because a nigguh but don't mean you're pussy is bomb	0.0	0.348	1
7534	Because at your local insurance agency, the customer is ALWAYS our bitch. #itakeshitfromnoone	0.0	0.352	1
7535	Because if nobody was judging the birds, this account wouldn't even cause a ripple in d ocean	0.0	0.0	0
7536	Because of the message that sends to LGBTQ residents in the state. Not as if West Virginia is a paradise for queer people. Today is major.	0.0	0.206	1
7537	Beefin ova bitches trade ya clip for Pom Poms	0.0	0.358	1
7538	Been a trill nicca since a Lil nicca	0.0	0.0	1
7539	Been a while since it's just been me solo at the crib, feeling kinda lonely like a hoe	0.288	0.171	1
7540	Been hooping all day tired than bitch	0.0	0.691	1
7541	Been schooling these bitches since 92'	0.0	0.494	1
7542	Been sleeping toooooo much, fuck it ima enjoy it before i start working 2 jobs like a hoe haha	0.41	0.165	1
7543	Been told by a lot of people that I'm cool then a hoe, and that they don't understand why someone wouldn't like me	0.149	0.137	1
7544	Beer ball isn't for pussies	0.0	0.0	1
7545	Before I let a pussy cut my hair I just will let it grow	0.0	0.259	1
7546	Behind every independent woman, is a pack of hating hoes	0.0	0.355	1
7547	Being a girl sucks. We have to deal with periods making us a bitch, shaving our legs on a daily basis, and worrying about what we eat.	0.0	0.42	1
7548	Being a hoe ain't cute #ijs	0.0	0.5	1
7549	Being a hoe is cute in 2014	0.5	0.0	1
7550	"At??? : Y'all are amazing."""	0.591	0.0	0
7551	Being single and not texting no bitches late night almost wacker than coming home after the club drunk and fuckin your girlfriend	0.0	0.344	1
7552	Believe in the heart of the cards bitch.	0.0	0.559	1
7553	Believe it or not hoes get boring after awhile	0.0	0.365	1
7554	Ben will gett ya some pussy.. ben will get ya some head!	0.0	0.0	1
7555	Bengals kicker trash.	0.0	0.0	0
7556	Benzino is a bitch point blank period	0.0	0.487	1
7557	Best of luck to Tino 'The Bambino' Martinez in Miami (your legacy is saved LOL) #Marlins #Yankees #RedSox #MLB	0.575	0.0	0
7558	Best rider? That goes to a blaxican.	0.512	0.0	0
7559	Bet Charlie Strong has contacted Ridley	0.452	0.0	0
7560	Bet they want a cookie, Bergbrain? You mean like you want a cracker? Kinda bitter here today aren'tcha? #stribpol mngop #mnleg	0.28	0.124	0
7561	Na why OOMF just tweeted that ?  she know ha pussy WACK	0.286	0.0	1
7562	Betta ask round these streets bitch bout Jay	0.0	0.388	1
7563	Better keep ya shit n line nicca ...	0.252	0.313	1
7564	Better nip that shit in the bud early.	0.305	0.379	1
7565	Better play your part bitch don't be a smart bitch cuz I might have a change of heart	0.25	0.466	1
7566	Between the constant tweegrams and the bad bitches playing themselves out for attention and the stupid caption pics instagram lost me.	0.082	0.598	1
7567	Beyonc more of a hipster bitch wit no hips these days	0.0	0.432	1
7568	Big G-Day s/o to  #FreeBoosie nicca lol!!!!!	0.442	0.0	1
7569	Big Red and fat squaw ...lol my hubby is so funny!! #insidejoke	0.473	0.0	0
7570	"Q: when will DFL dump Ryan ""Uncle Tom"" Winkler? } Not going to happen BergBleat on.#mngop proud #stribpol #mnleg"	0.15	0.126	0
7571	"Big bird holds press conf claims ""he does not care for the letter f"""	0.262	0.0	0
7572	Big bitches be like  Im Thick yea bitch atound the midsection	0.154	0.475	1
7573	Big black bitches out here arguing	0.0	0.775	1
7574	Big boobs = no ass No ass = big boobs Big boobs and big ass = ugly face Big boobs , big ass , pretty face = hoe.	0.09	0.546	1
7575	Big greenmile tweetin ass nicca	0.0	0.467	1
7576	Big hair bitches &gt&gt&gt&gt&gt&gt&gt&gt&gt&gt	0.781	0.145	1
7577	Big moe rn like a hoe haha yuhhhh	0.524	0.0	1
7578	Big ol pussy Harrington blocked me again	0.0	0.344	1
7579	Big thick pretty bitch	0.356	0.422	1
7580	Biggest booth I ever seen lastnight bitch had a leopard print jumper on look like an over weight leopard	0.145	0.22	1
7581	Biggie was and always will be the flyest cunt in rap. #biggie	0.0	0.39	1
7582	#tcot #teaparty #teabaggers #lgbt	0.0	0.0	0
7583	Israel..uhm iets met Gargamel,hoe heet die kat ook al weer..oja Azrael	0.0	0.262	1
7584	Biker gang looking ass bitches with titty tats. Foh sons of anarchy.	0.0	0.481	1
7585	Bill Cosby stealing pussy	0.0	0.552	1
7586	Bill Romanowski is still a cunt. Who saw that one coming.	0.0	0.314	1
7587	Bill Smith DDS MTV ODB LGBTQ MMA NFL AFLCIO bitch pick one.Fucking hate you.I know you proud but shit.	0.114	0.408	1
7588	Bitch I want my number back yo pussy mustard... oh yeah FUCK DAT BITCH TRUST ME! #DRO	0.288	0.419	1
7589	Bitch I'm not about to eat ya pussy all day long..I got a life.	0.0	0.322	1
7590	Bitch I'm the man that's right I said it, bitch I'm the man don't you forget it.	0.096	0.44	1
7591	Bitch ain't u his lawyer y u thank ery body STFU kill dat bitch to	0.0	0.673	1
7592	Bitch and who the fuck r u am speak when the fuck I feel like it and stop a pussy ass Nigga and box the fuck up	0.091	0.727	1
7593	Bitch ass nigga, be hating on black women... Uncle Tom bitch punk.	0.0	0.673	1
7594	"Bitch ass people are the first to call someone out for being a ""bitch"""	0.0	0.649	1
7595	Bitch bitch bitch	0.0	1.0	1
7596	Bitch don't talk yo shit then, say you on papers when a bitch trinna get down  you a straight FAG BITCH foe dat. Scary ass hoe.	0.122	0.649	1
7597	Bitch duck on whore ass slut cunt ha Biden it's Gucci. Tho whatever. Nigea	0.086	0.664	1
7598	Bitch fuck yo nigga, what's up with that pussy!!?!	0.0	0.671	1
7599	Bitch had a redbook account with all selfies on the add like bitch no tricks wanna see yo face	0.121	0.442	1
7600	Bitch i wouldn't eat yah pussy wit another nigga tongue	0.0	0.297	1
7601	Bitch just sucked my dick and tried to give me sugar bitch get out	0.0	0.777	1
7602	Bitch killa gone be dacing in that bitch cdfu	0.0	0.655	1
7603	Bitch nicca talmbout a mf 3peat....Df y'all ain't da Lakers	0.0	0.257	1
7604	Mallett ain't gon help yo funky ass texans	0.0	0.544	1
7605	Bitch you frooooontin, bitch you frooooontin. Lol	0.226	0.613	1
7606	Bitch you're the ugliest cunt ever.	0.0	0.844	1
7607	Bitch, you may have a million dollar body, but you got a dollar menu face and a four-piece nugget pussy, so you ain't worth shit.	0.137	0.256	1
7608	"Bitches ah have a baby  be like ""don't claim my child"" bitch you good  goddamn well ain't NOBODY claiming your creature"	0.248	0.356	1
7609	Bitches ain't shit but hoes and tricks	0.384	0.348	1
7610	Bitches always like you got hoes.. I be like duhh I'm tryna make you one of em  nbs	0.265	0.206	1
7611	Bitches always think somebody want them or they little coochie lol chilling dont exist nomore ? Iont want yall hoes	0.297	0.184	1
7612	"Bitches be 17 in the 9th grade talking about "" where my bae at ?"" No bitch , where ya credits at?"	0.12	0.494	1
7613	Bitches be happy about burger king pollo tropical on lunch break at work but act like dinner with new niggaz gotta be upscale.	0.257	0.162	1
7614	Bitches be having a nigga but want to be another nigga WCW bitch it don't work like that	0.076	0.573	1
7615	Bitches be in they feelings to much like live bitch	0.189	0.583	1
7616	"Bitches be like ""Keep Calm I'm Single""........... first of all bitch, nobody was hype"	0.196	0.314	1
7617	"Bitches be like ""New Avi &gt&gt"" and I'm just like bitch, your new avi is UGLY, your old avi was UGLY, bitch YOU ugly."	0.219	0.544	1
7618	Bitches be like I want something real ... And I be like I want a bitch with real hair but we can't always get what we want now can we lol	0.398	0.262	1
7619	Bitches be like im nt beefing over a niggah smh	0.197	0.488	1
7620	Bitches be like niggas ain't shit ... Naw bitch maybe you just ain't shit	0.328	0.397	1
7621	Bitches be mad they mane nigga gettin snatched up by all these whore yah pussy prolli wack ctfu	0.0	0.559	1
7622	Bitches be screaming fuck they nigga, but get mad when another bitch fuck they nigga	0.0	0.837	1
7623	Bitches be sounding damnear retarded on tbh videos  nbs	0.0	0.603	1
7624	"Bitches be tambout ""my party""..... no bitch, its everybody party...."	0.269	0.383	1
7625	Bitches be trying to squash all beef wen they find out they pregnant! Some hoes dont give a fuck!	0.164	0.259	1
7626	Bitches be watching me from other bitches pages THATS RIGHT BITCH , TEAM WORK	0.0	0.673	1
7627	Bitches be wearing extensions, fake eye lashes and make up talkin bout they bad bitches. No bitch you are not bad you're a created player	0.057	0.685	1
7628	Bitches bitches bitches	0.0	1.0	1
7629	Bitches can't fuck with my bitches they deadly	0.465	0.302	1
7630	Bitches cheat on they bitch... But be SOOOOOO HU when they bitch cheat back.	0.0	0.778	1
7631	Bitches complain about they baby daddies not being shit, but bitch you KNEW he wasn't shit you didn't HAVE to keep that baby you CHOSE to	0.0	0.659	1
7632	Bitches corny with that not saving numbers shit I hate them hoes	0.0	0.737	1
7633	Bitches don't even go out to have fun anymore they just go out to tweet about the function and to take pics wit other bitches	0.0	0.512	1
7634	Bitches dont wann fxck me no more bitches wanna fxck all my bitches	0.389	0.241	1
7635	Bitches get on twitter an turn to saints like they not hoes that shit kill a nigga	0.121	0.589	1
7636	Bitches know they bitches, bitch.	0.0	0.921	1
7637	Bitches love beefing over a nigga that's always in other bitches faces.	0.247	0.459	1
7638	Material objects make bitches happy #iPhone6	0.319	0.336	1
7639	Bitches on me bout da lil flexin shit on snapchat  bitch please	0.124	0.608	1
7640	Bitches rather be petty with his hoes instead of posting bail now that ah really fck em up.....psa	0.0	0.341	1
7641	Bitches so stupid!!! Yal can't know how I'm bouta start popping bitches	0.0	0.602	1
7642	Bitches swear up and down they pussy the best, but ain't.	0.341	0.415	1
7643	Bitches talmbout they limber got these bitches In limbo	0.0	0.609	1
7644	Bitches think they're slick but no matter how hard they try and hide it we can still tell if they're hoes or not	0.068	0.435	1
7645	Bitches will be bitches	0.0	1.0	1
7646	Bitches will be bitches.	0.0	1.0	1
7647	Bitches with kids are retarded	0.0	0.884	1
7648	Bitches with trash pussy always want unprotected sex	0.111	0.547	1
7649	Bitches, bitches, bitches.	0.0	1.0	1
7650	Bite me bitch , chew on a 19 footer	0.0	0.487	1
7651	Bitzy probably popped a Percocet before she had these drinks with Mellie. She seems like that kind of of trill ol' bitch. #ScandalABC	0.285	0.184	1
7652	Bjergsen just made a full AS rune page. I don't just me full AS reds and Quints I mean AS reds, blues, yellows, and Quints. 47% AS	0.0	0.0	0
7653	Blac Chyna's ass should've threw him off first of all. It's wop sided and those cheek piercing trashy as hell.	0.0	0.384	1
7654	"Black Dynamite!  ""All the hoes gone?! My dick harder than slavery!"" *wall-slides*"	0.086	0.456	1
7655	Black bitches be boisterous belligerent buffaloes! #AlliterationTuesday#Damnismartallofasudden	0.0	0.411	1
7656	Black bitches don't be kickin up in our school. Bitches still comin wit durags still on they head nd shit.	0.145	0.346	1
7657	Black cops want to kill white citizens. Spic cops want to kill Anglo citizens. Zigeuner cops are all rapists.	0.099	0.521	1
7658	"*attempts to throw a paper ball into the trash**misses* Mrs. Mundy: ""You're a disgrace to your race, Marcus"""	0.0	0.198	0
7659	Black people like  disgust me laughing at someone who died dumb monkey ass niggas like you need to be locked up just for stupidity	0.243	0.58	1
7660	Black twitter needs to get off Paul George dick about him impregnating a stripper. Wiz did. Tyga did. Kanye turned a hoe into a housewife	0.0	0.191	1
7661	Blah blah Idgaf bout you crazy ass bitch	0.0	0.862	1
7662	Blah blah blah blah.. How it sound when these bitches talk	0.0	0.669	1
7663	Blah. In all honesty.... I just need some pussy. That's it	0.302	0.132	1
7664	Blatt trash too ... but twitter said he was good	0.367	0.0	1
7665	"Ignore this low life creature...."""	0.0	0.535	1
7666	Blonde bitch wit her blue eyes, like butter when she spread	0.203	0.309	1
7667	Blood this nigga Dion retarded	0.0	0.552	1
7668	Blow up the pussy like Hussein. Bitch look at me crazy like who's sane?	0.291	0.36	1
7669	Blows my mind how some guys have these model type girls then cheat on them with some ghetto hoe.	0.0	0.273	1
7670	Blunt to the head, fuck Feds, I eat pussy till my tongue red	0.0	0.304	1
7671	Boats n hoes boats n hoes gotta have me my boats n hoes!!!!!!!	0.0	0.0	1
7672	Bobby bitch	0.0	0.792	1
7673	Bobby bitch dropping in five minutes though .... Let that sink in	0.0	0.322	1
7674	Bobby bitch&gtHot nigga	0.0	0.559	1
7675	TOP 3 BOBBY SHMURDA SONGS:1. HOT NIGGA2.3.	0.265	0.0	1
7676	But she kept all the ghetto. #LifeMade	0.0	0.0	1
7677	Bomb your house,Then fuck your bitch.All hail Al Qaeda	0.1	0.515	1
7678	Bond had the hoes and the money Bourne kicked ass no gadgets hawk always let a bitch die	0.0	0.554	1
7679	Boney ass bitch farting out mini basketballs	0.0	0.646	1
7680	Boosie ran this hoe	0.0	0.0	1
7681	Boozer so trash	0.0	0.0	1
7682	Bossd up on my old hoes	0.0	0.0	1
7683	Both but that was the old me lol   U be havin bitches on deck for the sex or it's a new joint every time?	0.168	0.234	1
7684	Both of my bitches drive range rovers	0.0	0.494	1
7685	Both of them hoes losers and need to hit the gym	0.0	0.405	1
7686	How chalmers lose his job to Norris Cole? Lmfaoooo	0.0	0.31	1
7687	Bought that bitch mozzarella sticks. Bitches love mozzarella sticks	0.249	0.456	1
7688	Bought these bitches breakfast and now getting kissed on my cheeks non stop...lol. Check out is literally in 5 mins tho	0.251	0.284	1
7689	Bought this Lp in Manchester the other week, had no idea it was coloured vinyl. Man what a steal!!!!! #VinylGasm #Re-Machined	0.0	0.304	0
7690	Bout tht time where the hoes are gettin dicked down	0.0	0.0	1
7691	Bout to bust this bitch wide open. Such a waste of money!	0.0	0.535	1
7692	Bout to dub dis bitch	0.0	0.559	1
7693	Bout to get a breasts reduction these bitches be in the way	0.0	0.438	1
7694	Bout to make some brownies in a few.	0.0	0.0	0
7695	Bout to put me some hoes on backpage .. Try my pimp hand out!	0.333	0.0	1
7696	Bout to smoke a 3.5 n dis bitch .. #Pollution	0.0	0.388	1
7697	Bout to unfollow all the bitches I follow currently and follow all new bitches. I need change in my life and I feel like that's a good start	0.214	0.31	1
7698	Bouta Rasengan all these stupid bitches	0.0	0.785	1
7699	Bow down bitches, bow down bitchess	0.0	0.565	1
7700	Bowling Green's campus looks old as fuck. Like state penitentiary old. But they do have a lot of bitches so I guess that counts for a lot	0.105	0.31	1
7701	Boy Yo bitch a lame , Dont Nobody Know Her but you	0.0	0.524	1
7702	Boy Yung thug is a fag	0.0	0.508	1
7703	Boy a bitch STILL ain't got the proper amount of sleep	0.0	0.322	1
7704	Boy damn jitt got his ass bitch slapped in da court yard comin to 6th period  i was yelln n shit	0.0	0.553	1
7705	Boy these downlow niccas should be ashamed	0.0	0.508	1
7706	Boy you gotta turn that Nikki song all the way down on the volume kuz it's trash ... But that the ass fat lawd	0.0	0.189	1
7707	Some hoes be setting themselves up for failure shit be so funny!! I'm sleep tho	0.177	0.457	1
7708	Boyfriends and brothers will drop off and pick up bitches from their fast food job as long as their promised a free meal.	0.293	0.303	1
7709	Boys dont wanna seem like bitch thats why they dont express feelings like us females do	0.253	0.192	1
7710	Boys want bad bitches , and dummies. Men want strong women who respect themselves and support his grind while handling hers.	0.466	0.295	1
7711	Brackin in da bity boolin wit sum bitches straight bleedin	0.148	0.305	1
7712	Brad Pitt is older than Charlie Sheen. What the fuckkkkkkkkkkkkk.	0.0	0.0	1
7713	Brady heard yall say he was washed, now he washing the league on you hoe ass niggas.	0.0	0.424	1
7714	Brag bout your hoes, you prolly get 0 to no pussy.	0.0	0.0	1
7715	Brag to you about the hoes he hittin and when you ask for a pic he show you some sorry ass female.. Then all you can do is laugh..	0.0	0.348	1
7716	Brandon Jennings trash	0.0	0.0	0
7717	Break shit fuck the law....grrrr...fuck that shit...punch that bitch!	0.0	0.723	1
7718	ur a little bitch	0.0	0.637	1
7719	Breaking yo bitch like a KitKat nigga	0.243	0.369	1
7720	Breezy gotta sleep this hoe	0.0	0.0	1
7721	"Briahna told me the best advice I ever gave her was that it ""aint nothing to cut dat bitch off"" lmao."	0.491	0.07	1
7722	"Brie said ""We were together since before we were born."" You guys are twins.. duh bitch. Omg who wrote the script?! #BellaTwins"	0.0	0.204	1
7723	Brilliant job by  to limp it back to the pits without causing a yellow. Wish he didn't need to though. #PLM	0.223	0.132	0
7724	Bring a niggah some icecream	0.0	0.0	1
7725	Bring another bitch for a real nigga.	0.0	0.487	1
7726	Britt attitude be for no reason , bitch mad at breakfast	0.0	0.636	1
7727	Bro I'm bored then a hoe rt	0.0	0.344	1
7728	Bro everybody is a ho then, fuck it, your favorite Color is mango red you are a ho, you charge your phone all the way to 100% = Ho, smh	0.144	0.279	1
7729	Bro what in the fuck y'all bitches thinking ... That is not ok	0.151	0.507	1
7730	Bro's before hoes, not bro's over your girlfriend	0.0	0.0	1
7731	Bro's before hoes, not bro's over your girlfriend...	0.0	0.0	1
7732	Broke bitches be like oh he Got MONN-NEYYY	0.205	0.549	1
7733	Broke bitches make me sick	0.0	0.909	1
7734	Broke bitches on my tl...	0.0	0.77	1
7735	Broke bitches that talk shit those the ones that I stunt for	0.0	0.774	1
7736	Broke bitches that talk shit, now them the bitches I stunt for	0.0	0.877	1
7737	Broke hoes always wanna argue u ain't ate all day were u get that energy from	0.129	0.319	1
7738	Broke pussy boy Deion's record.	0.0	0.359	1
7739	Broner would still knock half u niccas out	0.0	0.0	1
7740	Brooo Chinese sounds goooood then a hoe rn but my momma making carne con chile so I guess I'm gucci with that	0.0	0.0	1
7741	Brooooooo that wingstop went sooooo clutch, I straight ran through that hoe!!	0.262	0.0	1
7742	Brown is a color so my eyes are colored	0.0	0.0	0
7743	Brownies brownies brownies	0.0	0.0	0
7744	Browns and redskins shouldn't be considered nfl teams	0.0	0.0	0
7745	Brrr hoe dichter bij het Sint gebeuren hoe racistischer de drek op twitter en het komt nagenoeg alleen van de proZwartePieten hoek. Engvolk	0.0	0.0	1
7746	Bruh I'm ready to get this four wheeler that bitch is fast asf	0.188	0.286	1
7747	He def wanted to call L Rock a nigger in that last  LMAOOOOOOOOOOOOOOOOOOOOOOOOOOOO	0.0	0.381	1
7748	Bruh bitches be wearing heels and club outfits to school and shit	0.0	0.556	1
7749	Bruh leave it to the coins coons	0.0	0.286	1
7750	Bruh this niggah always falls asleep !	0.0	0.0	1
7751	Bruh went so hard on that bitch he deserves pimp of the year	0.0	0.51	1
7752	Bruh. Sasuke and Sakuras daughter gonna be a bad Uchiha bitch	0.0	0.51	1
7753	Bruh...  soo trash....	0.0	0.0	0
7754	Bruhhhh hoes ass laws had to fuck up the fun	0.248	0.526	1
7755	Bruised ankle is a bitch	0.0	0.655	1
7756	Brutus looking girl getting off the elevator as I'm walking into a different one... No bitch u can't come in, u can't u can't come in.	0.0	0.25	1
7757	Bryant must think he's so cute going out w his stupid ass friends and leaving me here but watch when he gets back  lil bitch	0.228	0.399	1
7758	Bsd bitch make it clap	0.0	0.559	1
7759	Bt bitches  niggahs always had there hand out	0.317	0.386	1
7760	Bt dubz, ur best pals bitch about u to me quite often... #stoplivingafuckinglie #hatredisincreasing	0.247	0.224	1
7761	Brandon said you a dirty ass coon	0.0	0.681	1
7762	Buddy drug the whole train lmao good ... extra ass hoes	0.393	0.202	1
7763	Buddy slapped his rent stress out on that messy bitch. What I done told u hoes bout New York niggas  they temper? #TrainVideo	0.0	0.565	1
7764	Build a bear &lt&lt&lt&lt build a bitch	0.0	0.352	1
7765	Bull color schemes?DULL, you stupid bitch. DUKE WEARS BOLD PASTEL COLORS.Bull makes no sense.	0.145	0.463	1
7766	Bullets stick to a nigguh damn liver	0.0	0.403	1
7767	Bullets through a nigguh tru jeans	0.0	0.0	1
7768	Bullying laws are for pussies.	0.0	0.661	1
7769	Bum ass hoe	0.0	0.636	1
7770	Bum bitch won't even my type	0.0	0.432	1
7771	Bumoose ducking those insults like a scared white pussy	0.205	0.467	1
7772	Bumped into a bitch that filed for sexual harassment at work against a co-worker...I aint been so shook in my life	0.078	0.44	1
7773	Bumpin that nigga nigga Rick Ross B.M.F this hoe going harrrrd highh outside enjoying this weather	0.221	0.0	1
7774	Bunch of hurt niggas  bitches on my IG timeline tonight.. Muhfuckas lame as hell b	0.0	0.774	1
7775	Burritos are trash	0.0	0.0	0
7776	Bussin bitches with my Gwale' Gwalas	0.0	0.565	1
7777	Is that avi pussy poppin on a handstand??	0.0	0.0	1
